"title","views","likes","likes_to_views_precentage"
"NCT WISH 엔시티 위시 'Sticky' MV","312305","53074","0.16994284433486495"
"The Second Cruelest Video Game","192976","20452","0.10598209103722743"
"Hit The Road - Baby Crash f/ G Herbo & NoHookChe | From The Block [PLAYGROUND] Performance 🎙","178784","15967","0.08930888670127081"
"Digital Circus Ep 9 Finale [TRAILER]","17620223","1372263","0.07788000185922732"
"ROBLOX MAKEUP UPDATE -_-","952973","68617","0.07200308927954936"
"This is NOT how you’re supposed to use Mega Starmie ft. @Alpharad","416695","29917","0.07179591787758433"
"MCC Hermit Take Over - LET'S GO C-TEAM!","226326","12677","0.05601212410416832"
"KATSEYE (캣츠아이) ""PINKY UP"" Official MV","13004602","725457","0.05578463685393832"
"I Added a 1 in 9,346,807 Weapon in Minecraft","112899","6163","0.054588614602432264"
"Angel Keeps THROWING UP, She’s Very SICK..(Brookhaven)","137805","7483","0.05430136787489569"
"Agefield High: Rock the School – Official Gameplay Overview Trailer","192337","9078","0.047198406962778876"
"Dezine - Stay (Lyric Video)","52711","2443","0.04634706228301493"
"Gucci Mane - Crash Dummy [Official Audio]","1404632","60626","0.04316148286526293"
"Clips Must Be Stopped","241587","10279","0.042547819212126484"
"Oh girl - Tonton Malele (feat. Sean Rii)","91351","3202","0.03505161410384123"
"I Got A Overnight Crossing Guard Job…","449666","14847","0.03301783990784271"
"100 Days to KILL GROX","522917","16887","0.032293843956115405"
"We Built A SECRET ADMIN BASE in 99 NIGHTS... W/ @Kat","170224","5224","0.030688974527681174"
"The Funniest Bro v Bro I've Ever Done","358705","10219","0.028488590903388577"
"Every Win Exposes Ashleys Camera Roll...","239669","5650","0.023574179389074097"
"I Survived 100 Days in Skyblock","19900084","436589","0.02193905312158481"
"Surviving The Biggest TSUNAMI In GTA 5...","291041","6251","0.021478073536031005"
"ROBLOX STEAL BRAINROTS AT NIGHT...","146696","2742","0.018691716202214104"
"Choosin' Texas","767681","13150","0.017129510825460055"
"🔴LIVE | RUST | KING of the KNIGHTS OF THE BUNGUS | Peanut's Wasteland | SLUR SATURDAY | #BUNGULATE","875594","12701","0.014505581353915172"
"Ricky Martin  ft. Maluma - Vente Pa' Ca (Letra/Lyrics)","249100","724","0.00290646326776395"
"Grupo Niche - Se Pareció Tanto A Ti (Letra)","150960","218","0.001444091149973503"
"Carin León - Despídase Bien (Letra)","553798","725","0.0013091416003669209"
